FraseID,Algoritmo,Resultado
1,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5053, ""1"": 0.4947}}}"
1,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.474, ""1"": 0.526}}}"
2,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.8635, ""1"": 0.1365}}}"
2,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5889, ""1"": 0.4111}}}"
3,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.449, ""1"": 0.551}}}"
3,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4254, ""1"": 0.5746}}}"
4,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.1998, ""1"": 0.8002}}}"
4,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4966, ""1"": 0.5034}}}"
5,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3876, ""1"": 0.6124}}}"
5,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.444, ""1"": 0.556}}}"
6,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4094, ""1"": 0.5906}}}"
6,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4095, ""1"": 0.5905}}}"
7,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5008, ""1"": 0.4993}}}"
7,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4878, ""1"": 0.5122}}}"
8,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.0861, ""1"": 0.9139}}}"
8,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3791, ""1"": 0.6209}}}"
9,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.9079, ""1"": 0.0921}}}"
9,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5617, ""1"": 0.4383}}}"
